event-id,visible,timestamp,location-long,location-lat,comments,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
27219157146,true,2002-04-22 00:00:00.000,13.739,8.142,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157147,true,2002-04-22 00:00:00.000,13.845,8.16,"A","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157148,true,2002-04-23 00:00:00.000,13.886,8.219,"2","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157149,true,2002-04-23 00:00:00.000,13.893,8.195,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157150,true,2002-04-25 00:00:00.000,13.93,8.17,"1","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157151,true,2002-04-26 00:00:00.000,13.806,8.161,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157152,true,2002-04-26 00:00:00.000,13.85,8.188,"3","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157153,true,2002-04-27 00:00:00.000,13.883,8.182,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157154,true,2002-04-27 00:00:00.000,13.884,8.172,"1","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157155,true,2002-04-27 00:00:00.000,13.915,8.173,"2","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157156,true,2002-04-28 00:00:00.000,13.923,8.173,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157157,true,2002-04-28 00:00:00.000,13.928,8.178,"3","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157158,true,2002-04-28 00:00:00.000,13.923,8.211,"A","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157159,true,2002-04-29 00:00:00.000,13.937,8.195,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157160,true,2002-04-29 00:00:00.000,13.877,8.202,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157161,true,2002-04-30 00:00:00.000,13.807,8.269,"A","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157162,true,2002-04-30 00:00:00.000,13.506,8.194,"A","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157163,true,2002-04-30 00:00:00.000,13.785,8.267,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157164,true,2002-05-01 00:00:00.000,13.851,8.308,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157165,true,2002-05-01 00:00:00.000,13.812,8.302,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157166,true,2002-05-02 00:00:00.000,13.811,8.263,"A","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157167,true,2002-05-02 00:00:00.000,13.823,8.262,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157168,true,2002-05-02 00:00:00.000,13.817,8.275,"A","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157169,true,2002-05-02 00:00:00.000,13.804,8.27,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157170,true,2002-05-03 00:00:00.000,13.803,8.267,"3","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157171,true,2002-05-03 00:00:00.000,13.793,8.269,"0","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157172,true,2002-05-03 00:00:00.000,13.797,8.264,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157173,true,2002-05-04 00:00:00.000,13.834,8.271,"A","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157174,true,2002-05-04 00:00:00.000,13.825,8.282,"A","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157175,true,2002-05-06 00:00:00.000,13.784,8.24,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157176,true,2002-05-06 00:00:00.000,13.792,8.226,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157177,true,2002-05-06 00:00:00.000,13.772,8.237,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157178,true,2002-05-07 00:00:00.000,13.766,8.24,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157179,true,2002-05-07 00:00:00.000,13.751,8.222,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157180,true,2002-05-08 00:00:00.000,13.857,8.208,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157181,true,2002-05-08 00:00:00.000,13.789,8.182,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157182,true,2002-05-08 00:00:00.000,13.823,8.222,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157183,true,2002-05-09 00:00:00.000,13.814,8.251,"2","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157184,true,2002-05-09 00:00:00.000,13.813,8.252,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157185,true,2002-05-10 00:00:00.000,13.808,8.174,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157186,true,2002-05-10 00:00:00.000,13.819,8.208,"2","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157187,true,2002-05-10 00:00:00.000,13.856,8.2,"3","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157188,true,2002-05-11 00:00:00.000,13.871,8.194,"2","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157189,true,2002-05-11 00:00:00.000,13.856,8.199,"1","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157190,true,2002-05-12 00:00:00.000,13.861,8.132,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157191,true,2002-05-12 00:00:00.000,13.867,8.147,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157192,true,2002-05-14 00:00:00.000,13.894,8.188,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
27219157193,true,2002-05-14 00:00:00.000,13.907,8.213,"B","argos-doppler-shift",,"#2789570002","9105","Elephant Research - Benoue National Park (Cameroon) - Collar 09105"
